,address,name,company,salary,type,edubg,experience,welfareNum
2178, 晓庄 ,晓庄苏果电信招聘, 南京亿宏佳通讯科技有限公司 ,5000-8000元/月,店员/营业员,高中,不限,0
2179, 鼓楼区 ,科技公司销售保底8000, 南京鑫湾仔岛投资管理有限公司 ,8000-12000元/月,销售代表,不限,不限,2
2180, 栖霞区 ,销售代表中介（南京栖霞）, 库房无忧 ,4000-8000元/月,销售代表,大专,不限,5
2181, 高新 ,置业顾问高薪高提成, 南京大喜房产经纪有限公司 ,3000-5000元/月,置业顾问,中专,不限,5
2182, 南京 ,业务拓展经理/主管, 中国平安人寿保险股份有限公司… ,12000-20000元/月,销售经理/主管,大专,1-2年,5
2183, 栖霞区 ,国企上四休二底薪两千六, 南京中电熊猫液晶显示科技有限… ,3000-5000元/月,普工,不限,不限,5
2184, 江浦 ,快餐店招切配, 南京中之轩投资管理有限公司 ,4000-4500元/月,配菜/打荷,不限,不限,0
2185, 建邺周边 ,新房事业部总监, 南京房多多网络科技有限公司 ,10000-20000元/月,总监,本科,6-7年,1
2186, 科学园 ,信用卡专员双休5K+, 中国平安人寿保险股份有限公司… ,面议,信用卡/银行卡业务,大专,不限,2
2187, 南京 ,餐厅服务员, 南京金钥匙国际大酒店有限公司 ,3000-5000元/月,餐厅服务员,不限,不限,3
2188, 盘城 ,汽车轮胎工洗车工, 南京瑞腾汽车维修有限公司 ,2000-3000元/月,汽车美容,不限,1-2年,4
2189, 建邺区 ,银行信用卡电话催收话务员, 高柏（中国）企业管理咨询有限… ,8000-12000元/月,风险管理/控制,大专,不限,2
2190, 玄武区 ,平安贷款理财专员, 中国平安 ,6000-12000元/月,金融产品销售,本科,1-2年,0
2191, 南京 ,送货工, 南京广润食品有限公司 ,3000-5000元/月,其他职位,不限,不限,5
2192, 华侨路 ,高薪聘请发型师, 南京美界美发造型顾问中心 ,8000-12000元/月,发型师,不限,1-2年,1
2193, 东山 ,高薪招聘有经验值班经理, 汤森南京酒店管理有限公司 ,面议,值班经理,不限,1-2年,2
2194, 江东 ,电话销售底薪三千周末双休, 南京鼎凯投资管理有限公司 ,5000-10000元/月,电话销售,不限,不限,5
2195, 六合区 ,月薪过万房产经纪人, 南京巨融信息科技有限公司 ,8000-12000元/月,房产经纪人,不限,不限,0
2196, 六合区 ,高提五险一金包住置业顾问, 南京巨融信息科技有限公司 ,8000-12000元/月,房产经纪人,不限,不限,5
2197, 雨花台区 ,微信推广+好福利+出国游, 南京浩鼎食品有限公司 ,3000-5000元/月,网站编辑,大专,1-2年,1
2198, 奥体 ,无责底薪高提成, 南京市建邺区江锦湾房产中介服… ,5000-10000元/月,置业顾问,高中,1-2年,4
2199, 建邺区 ,奥体中心6k聘快递员包住, 德邦物流 ,5000-8000元/月,快递员,不限,不限,5
2200, 建邺区 ,金鹰世界店小厨娘聘服务员, 小厨娘 ,3500-5500元/月,服务员,不限,不限,4
2201, 东山 ,私人会所招SPA师日结, 南京市江宁区康磬足部保健中心 ,面议,按摩师,不限,不限,2
2202, 南京 ,客房清扫员, 南京金钥匙国际大酒店有限公司 ,3000-4000元/月,客房服务员,不限,不限,3
2203, 南京 ,6000起步包食宿+提成, 壹号国际KTV会所 ,面议,娱乐休闲其他,不限,不限,5
2204, 雨花台区 ,南京山姆会员店导购+包住, 深圳市首恒贸易有限公司 ,3000-5000元/月,促销/导购员,不限,不限,1
2205, 江宁区 ,服装后道厂长主任主管8K, 民池后道 ,5000-8000元/月,厂长/副厂长,中专,10年以上,4
2206, 大行宫 ,话补+饭补+月薪过万高薪+销售, 南京齐馨阁文化传播有限公司 ,8000-12000元/月,销售代表,不限,不限,5
2207, 南京 ,新街口高端正规店聘美容师, 南京香住贸易有限公司 ,3000-6000元/月,美容师,不限,不限,2
2208, 安德门 ,安保当5k包吃住, 南京神龙保安服务有限公司 ,4500-5500元/月,保安,不限,不限,5
2209, 仙林 ,组建房产中介的战狼团队, 南京利众置业投资顾问有限公司 ,8000-13000元/月,房产店长/经理,大专,3-5年,5
2210, 秣陵 ,售后服务（包吃住）, 物芯智能 ,3000-6000元/月,仪器/仪表/计量,不限,不限,4
